sale,n
London,14
New York,13
Paris,10
San Diego,10
Austin,8
Chicago,8
Denver,8
Nashville,8
Cincinnati,7
Detroit,7
Pittsburgh,7
San Francisco,7
Grand Rapids,6
St. Louis,6
Brooklyn,5
Kansas City,5
Oakland,5
Orlando,5
Salamanca,5
Sydney,5
Toronto,5
Vancouver,5
Ventura,5
Barcelona,4
Cleveland,4
Edinburgh,4
Fort Worth,4
Granada,4
Liverpool,4
Los Angeles,4
Lubbock,4
Manchester,4
Minneapolis,4
Montreal,4
Oklahoma City,4
Rochester,4
Saint Paul,4
Seattle,4
Tampa,4
Tucson,4
Winnipeg,4
Adelaide,3
Amsterdam,3
Atlanta,3
Auckland,3
Berlin,3
Bologna,3
Boston,3
Brighton,3
Buffalo,3
Charleston,3
Cologne,3
Cork,3
Dallas,3
Fort Collins,3
Houston,3
Indianapolis,3
Islington,3
Jerusalem,3
Kiel,3
Las Vegas,3
Le Mans,3
Madison,3
Milwaukee,3
New Orleans,3
Norman,3
Nottingham,3
Plymouth,3
Richmond,3
Saskatoon,3
Tel Aviv,3
Waco,3
Wellington,3
Alicante,2
Anaheim,2
Athens,2
Baltimore,2
Belfast,2
Berkeley,2
Bilbao,2
Boise,2
Bournemouth,2
Budapest,2
Charlotte,2
Coventry,2
Des Moines,2
Dublin,2
Dunedin,2
Fayetteville,2
Florence,2
Guadalajara,2
Hackney,2
Hamburg,2
Heidelberg,2
Jacksonville,2
Kalamazoo,2
Kiev,2
Kingston,2
Leicester,2
Madrid,2
Mainz,2
Manhattan,2
Mannheim,2
Miami,2
Midland,2
Naples,2
Omaha,2
Oviedo,2
Oxford,2
Perth,2
Philadelphia,2
Phoenix,2
Porto,2
Provo,2
Raleigh,2
Regina,2
Sacramento,2
Salt Lake,2
Santa Cruz,2
Sheffield,2
StokeonTrent,2
Stuttgart,2
Syracuse,2
Tacoma,2
Tallahassee,2
The Bronx,2
Trieste,2
Vallejo,2
West Palm,2
Aachen,1
Abilene,1
AixenProvence,1
Ajaccio,1
Almería,1
Amiens,1
Amman,1
Angers,1
Arlington,1
Ashkelon,1
Augsburg,1
Bakersfield,1
Barrie,1
Baton Rouge,1
Blackpool,1
Bolton,1
Bolzano,1
Braga,1
Braunschweig,1
Bristol,1
Broken Arrow,1
Burnaby,1
Caen,1
Cairns,1
Calgary,1
Cambridge,1
Camden,1
Canberra,1
Cardiff,1
Christchurch,1
College Station,1
Concord,1
Corpus Christi,1
Costa Mesa,1
Darmstadt,1
Davenport,1
Dayton,1
Dijon,1
Dresden,1
Dundee,1
Durham,1
Edmonton,1
El Paso,1
Enfield,1
Erlangen,1
Evansville,1
Exeter,1
Fort Wayne,1
Freiburg,1
Funchal,1
Geelong,1
Gelsenkirchen,1
Gijón,1
Glasgow,1
Gold Coast,1
Göttingen,1
Greater Sudbury,1
Greenville,1
Grenoble,1
Haifa,1
Hamilton,1
Henderson,1
Hialeah,1
Hobart,1
Ibiza,1
Inglewood,1
Jena,1
Jersey City,1
Karlsruhe,1
Kassel,1
Lexington,1
Lille,1
Lincoln,1
Lisbon,1
Little Rock,1
Livorno,1
Logroño,1
Long Beach,1
Longueuil,1
Lyon,1
Málaga,1
Marion,1
Marrakesh,1
McAllen,1
Memphis,1
Metz,1
Milan,1
Montpellier,1
Moorhead,1
Mülheim,1
Münster,1
Murcia,1
Nantes,1
Naperville,1
Newcastle,1
Nîmes,1
Norwich,1
Offenbach,1
Oldenburg,1
Orange,1
Ottawa,1
Oxnard,1
Paderborn,1
Palma,1
Palmdale,1
Parma,1
Petah Tikva,1
Portland,1
Portsmouth,1
Potsdam,1
Preston,1
Québec,1
Queens,1
Reggio Calabria,1
Reims,1
Rennes,1
Rome,1
Russellville,1
Saarbrücken,1
Saarlouis,1
San Angelo,1
San Antonio,1
San Jose,1
San Luis,1
San Mateo,1
San Sebastián,1
Santander,1
Sarasota,1
Savannah,1
Siegen,1
South Bend,1
Spokane,1
St. John's,1
Swansea,1
Tauranga,1
Temecula,1
Toledo,1
Torrance,1
Tulsa,1
Valencia,1
Virginia Beach,1
Waltham Forest,1
Washington,1
Watford,1
Wichita,1
Woodbridge,1
Würzburg,1
